Vertex	Dijkstra	DeltaStepping	ParallelDeltaStepping
622	25.2273	25.2273	25.2273
623	23.723	23.723	23.723
624	21.2422	21.2422	21.2422
625	25.3493	25.3493	25.3493
626	24.3786	24.3786	24.3786
627	23.4111	23.4111	23.4111
628	15.3944	15.3944	15.3944
629	26.3517	26.3517	26.3517
630	27.0778	27.0778	27.0778
631	23.7679	23.7679	23.7679
632	23.1162	23.1162	23.1162
633	25.3822	25.3822	25.3822
634	27.7547	27.7547	27.7547
635	23.2438	23.2438	23.2438
636	16.8587	16.8587	16.8587
637	20.8047	20.8047	20.8047
638	26.0657	26.0657	26.0657
639	21.1925	21.1925	21.1925
640	21.2226	21.2226	21.2226
641	20.3982	20.3982	20.3982
642	27.0694	27.0694	27.0694
643	14.5339	14.5339	14.5339
644	23.6192	23.6192	23.6192
645	26.2659	26.2659	26.2659
646	27.3422	27.3422	27.3422
647	17.9479	17.9479	17.9479
648	24.113	24.113	24.113
649	23.2869	23.2869	23.2869
650	1.79769e+308	inf	inf
651	24.7381	24.7381	24.7381
652	22.9913	22.9913	22.9913
653	19.6003	19.6003	19.6003
654	23.0992	23.0992	23.0992
655	28.8766	28.8766	28.8766
656	24.2644	24.2644	24.2644
657	24.9318	24.9318	24.9318
658	23.0797	23.0797	23.0797
659	33.4238	33.4238	33.4238
660	23.3183	23.3183	23.3183
661	19.0785	19.0785	19.0785
662	24.1507	24.1507	24.1507
663	25.0703	25.0703	25.0703
664	22.7324	22.7324	22.7324
665	29.1726	29.1726	29.1726
666	23.4471	23.4471	23.4471
667	19.6124	19.6124	19.6124
668	30.7003	30.7003	30.7003
669	26.7052	26.7052	26.7052
670	30.4987	30.4987	30.4987
671	23.4581	23.4581	23.4581
672	24.7324	24.7324	24.7324
673	17.0503	17.0503	17.0503
674	17.9836	17.9836	17.9836
675	27.2681	27.2681	27.2681
676	24.6833	24.6833	24.6833
677	23.6105	23.6105	23.6105
678	31.5301	31.5301	31.5301
679	25.4872	25.4872	25.4872
680	27.1761	27.1761	27.1761
681	29.1887	29.1887	29.1887
682	29.7866	29.7866	29.7866
683	26.6249	26.6249	26.6249
684	16.9047	16.9047	16.9047
685	24.5029	24.5029	24.5029
686	23.3109	23.3109	23.3109
687	21.1573	21.1573	21.1573
688	24.473	24.473	24.473
689	27.7394	27.7394	27.7394
690	20.8545	20.8545	20.8545
691	24.7639	24.7639	24.7639
692	25.3321	25.3321	25.3321
693	26.518	26.518	26.518
694	28.3872	28.3872	28.3872
695	22.4207	22.4207	22.4207
696	19.8173	19.8173	19.8173
697	27.259	27.259	27.259
698	1.79769e+308	inf	inf
699	23.9144	23.9144	23.9144
700	19.5768	19.5768	19.5768
701	29.5764	29.5764	29.5764
702	22.0331	22.0331	22.0331
703	22.492	22.492	22.492
704	37.5519	37.5519	37.5519
705	27.879	27.879	27.879
706	28.6911	28.6911	28.6911
707	26.6638	26.6638	26.6638
708	23.4504	23.4504	23.4504
709	24.2435	24.2435	24.2435
710	26.7627	26.7627	26.7627
711	18.8757	18.8757	18.8757
712	26.0679	26.0679	26.0679
713	16.8856	16.8856	16.8856
714	22.3853	22.3853	22.3853
715	25.8342	25.8342	25.8342
716	18.209	18.209	18.209
717	22.9905	22.9905	22.9905
718	29.5525	29.5525	29.5525
719	23.4789	23.4789	23.4789
720	22.0161	22.0161	22.0161
721	20.5006	20.5006	20.5006
722	23.3893	23.3893	23.3893
723	22.7519	22.7519	22.7519
724	15.7864	15.7864	15.7864
725	1.79769e+308	inf	inf
726	23.333	23.333	23.333
727	24.2049	24.2049	24.2049
728	27.1394	27.1394	27.1394
729	25.5134	25.5134	25.5134
730	22.9035	22.9035	22.9035
731	26.3949	26.3949	26.3949
732	20.6361	20.6361	20.6361
733	15.0757	15.0757	15.0757
734	24.286	24.286	24.286
735	21.735	21.735	21.735
736	24.0951	24.0951	24.0951
737	27.1169	27.1169	27.1169
738	19.9138	19.9138	19.9138
739	26.5768	26.5768	26.5768
740	22.4069	22.4069	22.4069
741	25.0463	25.0463	25.0463
742	24.9535	24.9535	24.9535
743	22.3452	22.3452	22.3452
744	27.4739	27.4739	27.4739
745	28.7573	28.7573	28.7573
746	1.79769e+308	inf	inf
747	28.9038	28.9038	28.9038
748	20.8244	20.8244	20.8244
749	21.4041	21.4041	21.4041
750	19.0059	19.0059	19.0059
751	22.3669	22.3669	22.3669
752	21.1156	21.1156	21.1156
753	21.5998	21.5998	21.5998
754	29.2561	29.2561	29.2561
755	35.7828	35.7828	35.7828
756	22.0992	22.0992	22.0992
757	15.1338	15.1338	15.1338
758	23.6408	23.6408	23.6408
759	19.9423	19.9423	19.9423
760	22.9072	22.9072	22.9072
761	21.1871	21.1871	21.1871
762	24.8037	24.8037	24.8037
763	25.8987	25.8987	25.8987
764	28.9249	28.9249	28.9249
765	22.091	22.091	22.091
766	25.1733	25.1733	25.1733
767	16.3388	16.3388	16.3388
768	24.9212	24.9212	24.9212
769	23.1644	23.1644	23.1644
770	24.1041	24.1041	24.1041
771	13.87	13.87	13.87
772	23.3431	23.3431	23.3431
773	22.2862	22.2862	22.2862
774	21.8604	21.8604	21.8604
775	23.5576	23.5576	23.5576
776	26.9898	26.9898	26.9898
777	27.5939	27.5939	27.5939
778	26.584	26.584	26.584
779	21.7168	21.7168	21.7168
780	24.9297	24.9297	24.9297
781	23.8678	23.8678	23.8678
782	24.6413	24.6413	24.6413
783	22.0106	22.0106	22.0106
784	25.5124	25.5124	25.5124
785	28.8924	28.8924	28.8924
786	25.2047	25.2047	25.2047
787	21.9774	21.9774	21.9774
788	25.3971	25.3971	25.3971
789	23.9264	23.9264	23.9264
790	24.409	24.409	24.409
791	25.2917	25.2917	25.2917
792	28.5131	28.5131	28.5131
793	33.0763	33.0763	33.0763
794	19.7533	19.7533	19.7533
795	29.2216	29.2216	29.2216
796	13.9826	13.9826	13.9826
797	25.4623	25.4623	25.4623
798	20.7232	20.7232	20.7232
799	20.1304	20.1304	20.1304
800	17.2742	17.2742	17.2742
801	23.9045	23.9045	23.9045
802	19.9236	19.9236	19.9236
803	23.1098	23.1098	23.1098
804	28.3562	28.3562	28.3562
805	31.6566	31.6566	31.6566
806	23.3557	23.3557	23.3557
807	20.0319	20.0319	20.0319
808	19.5287	19.5287	19.5287
809	21.196	21.196	21.196
810	15.9378	15.9378	15.9378
811	27.4297	27.4297	27.4297
812	23.6943	23.6943	23.6943
813	22.1216	22.1216	22.1216
814	26.8191	26.8191	26.8191
815	21.1555	21.1555	21.1555
816	21.1256	21.1256	21.1256
817	31.5133	31.5133	31.5133
818	21.3543	21.3543	21.3543
819	28.6249	28.6249	28.6249
820	22.6548	22.6548	22.6548
821	21.6608	21.6608	21.6608
822	29.3068	29.3068	29.3068
823	19.0751	19.0751	19.0751
824	22.308	22.308	22.308
